Parent,Child,Parent_size,Child_size,Parent_box_no,Child_box_no,Order,Overlap_perc,Participant_id,Image,Rotation_difference,Sym_axis_overlap
702.0,704.0,4012.0,4012.0,4.0,6.0,Parent to Child,0.9852941176470589,106.0,FLICKR-AES -farm7_6053_6329816112_1a295212d2.jpg,0.0,0.9041095890410958
729.0,735.0,17400.000038743034,8400.000256299974,0.0,6.0,Parent to Child,1.0,109.0,camille-pissarro_the-street-of-the-citadelle-pontoise-1873.jpg,88.28163684192526,0.11690821256038647
738.0,736.0,24899.99997615815,14600.00008046627,2.0,0.0,Child to Parent,1.0,109.0,chaim-soutine_the-table.jpg,90.0,0.07172495554238292
741.0,740.0,30999.999836087238,30199.999848008167,1.0,0.0,Child to Parent,0.9801655631584882,109.0,joan-miro_bird-s-flight-in-moonlight.jpg,90.0,0.0677491601343785
750.0,746.0,147678.99722155934,59707.99932622911,4.0,0.0,Child to Parent,0.9960474308533194,109.0,forrest-bess_the-three-doors-1959.jpg,0.0,0.03744970597338285
750.0,747.0,147678.99722155934,12980.000128746022,4.0,1.0,Child to Parent,1.0,109.0,forrest-bess_the-three-doors-1959.jpg,0.0,0.9137055837563451
750.0,748.0,147678.99722155934,12980.000128746018,4.0,2.0,Child to Parent,1.0,109.0,forrest-bess_the-three-doors-1959.jpg,0.0,0.0
750.0,749.0,147678.99722155934,12980.000128746025,4.0,3.0,Child to Parent,1.0,109.0,forrest-bess_the-three-doors-1959.jpg,0.0,0.0
756.0,751.0,55866.99960908294,17390.00017315149,5.0,0.0,Child to Parent,0.8270270284202693,109.0,eugene-delacroix_a-corner-of-the-studio(1).jpg,0.0,0.0
757.0,761.0,65147.99941444397,29403.000156372775,0.0,4.0,Parent to Child,0.8030303040185446,109.0,fernand-leger_mother-and-child-1955.jpg,0.0,0.0
762.0,759.0,32636.99997356534,15222.000106632706,5.0,2.0,Child to Parent,1.0,109.0,fernand-leger_mother-and-child-1955.jpg,0.0,0.7306666666666667
763.0,764.0,214967.99573624146,18515.000030845404,0.0,1.0,Parent to Child,1.0,109.0,alighiero-boetti_pier-piet-1974.jpg,0.0,0.7310549777117384
794.0,795.0,35844.000025510795,5548.000165462501,1.0,2.0,Parent to Child,1.0,109.0,henri-rousseau_the-pink-candle-1910.jpg,0.0,0.7330316742081447
804.0,805.0,53709.9998164177,53709.9998164177,0.0,1.0,Parent to Child,0.9937534910654748,109.0,mario-schifano_interno-esterno-1976.jpg,90.0,0.0795006570302234
818.0,817.0,125199.99792724852,20000.0,1.0,0.0,Child to Parent,1.0,109.0,paul-feeley_untitled.jpg,90.0,0.10245554614733277
819.0,817.0,125199.99792724852,20000.0,2.0,0.0,Child to Parent,1.0,109.0,paul-feeley_untitled.jpg,90.0,1.0
818.0,819.0,125199.99792724852,125199.99792724852,1.0,2.0,Parent to Child,0.9934105431647211,109.0,paul-feeley_untitled.jpg,90.0,0.03444349558781668
820.0,821.0,40886.99965319041,7470.0001588463765,0.0,1.0,Parent to Child,1.0,109.0,edouard-manet_peaches-1882.jpg,0.0,0.545271629778672
879.0,880.0,92516.00000000003,92516.0,1.0,2.0,Parent to Child,0.957492907829459,115.0,FLICKR-AES -farm9_8173_8068829172_c633f1f900.jpg,2.87922566808467,0.4142968445656408
889.0,890.0,93766.0,32523.999999999996,0.0,1.0,Parent to Child,0.973564387341041,115.0,FLICKR-AES -farm6_5545_9308487862_051731b459_b.jpg,2.668487553650394,0.0
889.0,891.0,93766.0,32524.0,0.0,2.0,Parent to Child,0.9828500909543068,115.0,FLICKR-AES -farm6_5545_9308487862_051731b459_b.jpg,2.668487553650394,0.0
941.0,939.0,190762.0,17600.0,2.0,0.0,Child to Parent,1.0,118.0,COCO - 000000188120.jpg,0.0,0.0
941.0,940.0,190762.0,17600.0,2.0,1.0,Child to Parent,1.0,118.0,COCO - 000000188120.jpg,0.0,0.0
