Participant_id,Image,Num_boxes,Num_nestings,Num_nestings_pc,Num_nestings_cp
19,EVA - 724479.jpg,1,0,0,0
19,EVA - 773785.jpg,1,0,0,0
19,MemCat - n04587559_11562.jpg,1,0,0,0
19,EVA - 13565.jpg,1,0,0,0
19,VIU - image_r_252.jpg,1,0,0,0
19,EVA - 46652.jpg,1,0,0,0
19,flower102 - image_00258.jpg,1,0,0,0
19,EVA - 72787.jpg,1,0,0,0
19,FLICKR-AES -farm7_6053_6329816112_1a295212d2.jpg,1,0,0,0
25,frank-stella_black-stack-1970.jpg,6,0,0,0
25,fred-yates_on-the-promenade-1.jpg,4,0,0,0
25,david-burliuk_landscape-in-new-mexico-1942.jpg,2,0,0,0
25,boris-kustodiev_venice-quay-grand-canal-with-views-of-the-island-of-san-giorgio.jpg,1,0,0,0
25,ilya-mashkov_still-life-1910.jpg,13,0,0,0
25,giuseppe-arcimboldo_the-dinner(1).jpg,2,0,0,0
25,nicolae-darascu_still-life-with-pumpkin.jpg,3,0,0,0
25,a.y.-jackson_terre-sauvage-1913.jpg,3,0,0,0
25,anne-appleby_crocus-2012.jpg,6,9,0,9
25,joan-miro_bird-s-flight-in-moonlight.jpg,2,0,0,0
25,betty-parsons_untitled-1953.jpg,3,0,0,0
25,childe-hassam_columbus-avenue-rainy-day-1885.jpg,4,0,0,0
25,martiros-saryan_egyptian-night-1912.jpg,4,0,0,0
25,adolphe-joseph-thomas-monticelli_still-life-with-white-pitcher.jpg,4,0,0,0
25,anna-ostroumova-lebedeva_academy-of-arts-1922-1.jpg,3,0,0,0
25,forrest-bess_the-three-doors-1959.jpg,5,3,3,0
25,andrei-ryabushkin_winter-morning.jpg,7,0,0,0
25,jack-bush_split-circle-3-1961.jpg,4,0,0,0
25,ion-pacea_natur-static-cu-vas-i-fructe.jpg,4,2,2,0
25,mstislav-dobuzhinsky_a-cottage-in-st-petersburg-1905.jpg,5,0,0,0
28,ernst-ludwig-kirchner_sertigweg-1926.jpg,1,0,0,0
28,edouard-manet_the-salmon.jpg,2,0,0,0
28,richard-tuttle_two-with-any-2-1-1999.jpg,1,0,0,0
28,howard-hodgkin_arch-1971.jpg,1,0,0,0
28,kazuo-nakamura_spatial-concept-1968.jpg,2,0,0,0
28,gregoire-boonzaier_still-life-with-teapot-1930.jpg,1,0,0,0
28,camille-pissarro_brickworks-at-eragny-1888.jpg,2,0,0,0
28,ion-pacea_still-life-with-seashell-and-fruit.jpg,2,0,0,0
28,jules-lefranc_le-metro-aerien.jpg,1,0,0,0
28,alfred-sisley_a-road-in-seine-et-marne-1875.jpg,1,0,0,0
28,maurice-de-vlaminck_house-on-the-banks-of-a-river-1909.jpg,1,0,0,0
28,armand-guillaumin_la-campagne-1895.jpg,1,0,0,0
28,janet-fish_black-bowl-red-scarf-2007.jpg,2,0,0,0
28,endre-bartos_streets-meeting-on-baja-1994.jpg,1,0,0,0
28,max-pechstein_meadow-at-the-moritzburg-1910.jpg,1,0,0,0
28,henri-matisse_still-life-with-pineapples-1.jpg,1,0,0,0
28,louay-kayyali_maaloula-1963.jpg,1,0,0,0
28,edward-hopper_davis-house.jpg,1,0,0,0
28,ivan-aivazovsky_venice-1874.jpg,1,0,0,0
28,albert-bloch_study-of-shape-and-color-9-with-railway-bridge.jpg,1,0,0,0
31,EVA - 333631.jpg,2,0,0,0
31,EVA - 830948.jpg,2,0,0,0
31,COCO - 000000211837.jpg,1,0,0,0
31,MemCat - n03541923_1742.jpg,1,0,0,0
31,CAT2000 - 095.jpg,1,0,0,0
31,MemCat - 000000544638.jpg,1,0,0,0
31,COCO - 000000158702.jpg,2,0,0,0
31,MIRFLICKR25 - im446.jpg,1,0,0,0
31,FLICKR-AES -farm6_5539_12268592753_35580969ef.jpg,1,0,0,0
31,MIRFLICKR25 - im17.jpg,1,0,0,0
31,MemCat - n02934451_5338.jpg,1,0,0,0
31,FLICKR-AES -farm9_8177_8071283886_b58843da25.jpg,1,0,0,0
31,CAT2000 - 193.jpg,1,0,0,0
31,FLICKR-AES -farm6_5654_21449051550_a1275b36d8_b.jpg,2,0,0,0
31,EVA - 950600.jpg,1,0,0,0
31,BSD - 188063.jpg,1,0,0,0
31,COCO - 000000051484.jpg,1,0,0,0
31,COCO - 000000014855.jpg,1,0,0,0
31,MemCat - n02118333_14064.jpg,1,0,0,0
31,EVA - 29164.jpg,1,0,0,0
31,EVA - 85316.jpg,1,0,0,0
31,EVA - 956489.jpg,1,0,0,0
31,COCO - 000000430160.jpg,1,0,0,0
31,COCO - 000000217289.jpg,1,0,0,0
31,FLICKR-AES -farm9_8518_8579998556_b6556512bd.jpg,1,0,0,0
40,henri-edmond-cross_a-garden-in-provence-1901.jpg,5,1,1,0
40,boris-kustodiev_autumn-1915.jpg,4,0,0,0
40,carl-larsson_harvesting-ice-1905(1).jpg,8,4,2,2
40,arman-manookian_old-kahala-home-1928.jpg,4,1,1,0
40,chaim-soutine_the-table.jpg,1,0,0,0
40,maurice-utrillo_basilica.jpg,3,0,0,0
40,franklin-carmichael_bisset-farm-1933.jpg,4,0,0,0
40,henri-fantin-latour_still-life-corner-of-a-table-1873.jpg,4,0,0,0
40,esteban-vicente_untitled-1988.jpg,3,1,1,0
40,cy-twombly_untitled-7.jpg,3,0,0,0
40,jamie-wyeth_monhegan-bell-1978.jpg,2,0,0,0
40,maria-primachenko_dear-taras-hryhorovych-whatever-you-see-here-is-yours-1982.jpg,10,0,0,0
40,camille-pissarro_the-street-of-the-citadelle-pontoise-1873.jpg,3,0,0,0
40,anna-ostroumova-lebedeva_chain-bridge-in-st-petersburg-1903.jpg,5,0,0,0
40,grandma-moses_a-beautiful-world-1948.jpg,1,0,0,0
40,fairfield-porter_amherst-campus-no-1-1969.jpg,1,0,0,0
40,barnett-newman_the-blessing-1944.jpg,1,0,0,0
40,joan-hernandez-pijuan_iris-blau-1997.jpg,3,3,1,2
40,natalia-dumitresco_fleurs-1971.jpg,5,1,1,0
40,louis-vivin_au-bord-de-la-rivi-re-en-hiver-1930.jpg,8,0,0,0
43,COCO - 000000272217.jpg,4,0,0,0
43,FLICKR-AES -farm9_8584_15897121829_de1bc15e58_b.jpg,1,0,0,0
43,MemCat - n07574602_27391.jpg,2,0,0,0
43,COCO - 000000347953.jpg,1,0,0,0
43,MIRFLICKR25 - im2910.jpg,1,0,0,0
43,EVA - 61719.jpg,1,0,0,0
43,EVA - 339560.jpg,1,0,0,0
43,FLICKR-AES -farm6_5714_22882197537_538c5baa83_b.jpg,1,0,0,0
43,FLICKR-AES -farm6_5657_21449214829_e974612f9f_b.jpg,1,0,0,0
43,FLICKR-AES -farm8_7002_6540390947_7c734bd6f0.jpg,1,0,0,0
43,FLICKR-AES -farm6_5530_9898088585_e18c131113.jpg,1,0,0,0
43,COCO - 000000436413.jpg,2,0,0,0
43,COCO - 000000024899.jpg,2,0,0,0
43,EVA - 202453.jpg,1,0,0,0
43,EVA - 64085.jpg,3,0,0,0
43,MIRFLICKR25 - im13108.jpg,2,0,0,0
43,COCO - 000000244666.jpg,2,0,0,0
43,VIU - image_r_739.jpg,3,0,0,0
43,FLICKR-AES -farm8_7052_6971264067_fa07117bd0.jpg,1,0,0,0
43,EVA - 904635.jpg,1,0,0,0
43,EVA - 282788.jpg,1,0,0,0
43,COCO - 000000027667.jpg,1,0,0,0
43,EVA - 85021.jpg,2,0,0,0
43,EVA - 58894.jpg,2,0,0,0
43,EVA - 79346.jpg,1,0,0,0
46,COCO - 000000022098.jpg,2,0,0,0
46,MIRFLICKR25 - im14852.jpg,1,0,0,0
46,MIRFLICKR25 - im14193.jpg,1,0,0,0
46,COCO - 000000104809.jpg,3,0,0,0
46,MemCat - n04587559_12843.jpg,2,0,0,0
46,COCO - 000000282675.jpg,1,0,0,0
46,VIU - image_r_772.jpg,3,0,0,0
46,MemCat - n09308572_1901.jpg,2,0,0,0
46,EVA - 695818.jpg,1,0,0,0
46,VIU - image_r_613.jpg,2,0,0,0
46,FLICKR-AES -farm9_8265_8635344764_454c8b90c1.jpg,3,0,0,0
46,VIU - image_r_7.jpg,2,0,0,0
46,EVA - 339259.jpg,4,0,0,0
46,COCO - 000000158702.jpg,2,0,0,0
46,CAT2000 - 095.jpg,1,0,0,0
46,FLICKR-AES -farm6_5520_11548707806_3f26f8b155_b.jpg,2,0,0,0
46,FLICKR-AES -farm6_5530_9898088585_e18c131113.jpg,1,0,0,0
46,MIRFLICKR25 - im17.jpg,2,0,0,0
46,EVA - 345927.jpg,2,0,0,0
46,EVA - 85316.jpg,1,0,0,0
46,flower102 - image_06059.jpg,1,0,0,0
46,EVA - 46652.jpg,1,0,0,0
46,EVA - 60459.jpg,1,0,0,0
46,FLICKR-AES -farm6_5504_9293220557_a1b681b598.jpg,1,0,0,0
46,FLICKR-AES -farm6_5822_21602111826_d11042da85_b.jpg,2,1,0,1
58,COCO - 000000000605.jpg,2,0,0,0
58,EVA - 251858.jpg,1,0,0,0
58,EVA - 837782.jpg,2,0,0,0
58,FLICKR-AES -farm6_5657_21449214829_e974612f9f_b.jpg,1,0,0,0
58,EVA - 33045.jpg,1,0,0,0
58,EVA - 312153.jpg,4,0,0,0
58,COCO - 000000274613.jpg,1,0,0,0
58,EVA - 441655.jpg,2,0,0,0
58,FLICKR-AES -farm8_7132_13703186195_f9d4069305_b.jpg,1,0,0,0
58,EVA - 343625.jpg,2,0,0,0
58,MIRFLICKR25 - im24659.jpg,2,0,0,0
58,MemCat - n04587559_11562.jpg,3,0,0,0
58,EVA - 339560.jpg,1,0,0,0
58,COCO - 000000466132.jpg,5,0,0,0
58,AADB - farm1_335_20168141691_fdae33801d_b.jpg,1,0,0,0
58,EVA - 710077.jpg,2,0,0,0
58,MIRFLICKR25 - im15245.jpg,2,0,0,0
58,MIRFLICKR25 - im20106.jpg,1,0,0,0
58,EVA - 337336.jpg,2,1,0,1
58,EVA - 35760.jpg,4,0,0,0
58,COCO - 000000244666.jpg,4,0,0,0
58,MemCat - n02118333_14064.jpg,1,0,0,0
58,EVA - 202453.jpg,4,0,0,0
58,COCO - 000000134688.jpg,2,0,0,0
58,FLICKR-AES -farm8_7006_6811073403_2db9a34607.jpg,5,0,0,0
